country,year,GDP,life_expectancy,pop,decade,region
Uruguay,1800,1758,32.9,55000,1800,America
USSR,1800,NA,NA,NA,1800,Europe & Central Asia
Uzbekistan,1800,502,26.926,1919159,1800,Europe & Central Asia
Wallis et Futuna,1800,NA,NA,3721,1800,East Asia & Pacific
Vanuatu,1800,585,24.3,27791,1800,East Asia & Pacific
Venezuela,1800,682,32.2,718000,1800,America
West Bank and Gaza,1800,1220,32.1,165944,1800,Middle East & North Africa
West Germany,1800,NA,NA,NA,1800,Europe & Central Asia
Western Sahara,1800,NA,34.753,2788,1800,Middle East & North Africa
Vietnam,1800,861,32,6551000,1800,East Asia & Pacific
Virgin Islands (U.S.),1800,NA,33.403,40000,1800,America
North Yemen (former),1800,NA,NA,NA,1800,NA
South Yemen (former),1800,NA,NA,NA,1800,NA
Yemen,1800,877,23.387,2593000,1800,NA
Yugoslavia,1800,NA,NA,NA,1800,Europe & Central Asia
Zambia,1800,663,32.6,747000,1800,Sub-Saharan Africa
Zimbabwe,1800,869,33.7,1085814,1800,Sub-Saharan Africa
Åland,1800,NA,NA,NA,1800,Europe & Central Asia
South Sudan,1800,507,26.665,1027378,1800,Sub-Saharan Africa
Abkhazia,1801,NA,NA,NA,1800,Europe & Central Asia
Afghanistan,1801,603,28.2007533333333,3280000,1800,South Asia
Akrotiri and Dhekelia,1801,NA,NA,NA,1800,Europe & Central Asia
Albania,1801,667,35.4,410445,1800,Europe & Central Asia
Algeria,1801,716,28.8224,2503218,1800,Middle East & North Africa
American Samoa,1801,NA,NA,8170,1800,East Asia & Pacific
Andorra,1801,1199,NA,2654,1800,Europe & Central Asia
Angola,1801,620,26.98,1567028,1800,Sub-Saharan Africa
Anguilla,1801,NA,NA,2025,1800,America
Antigua and Barbuda,1801,757,33.536,37000,1800,America
Argentina,1801,1508,33.2,534000,1800,America
Armenia,1801,514,33.995,413326,1800,Europe & Central Asia
Aruba,1801,833,34.419,19286,1800,America
Australia,1801,816,34.05,351014,1800,East Asia & Pacific
Austria,1801,1855,34.4,3205587,1800,Europe & Central Asia
Azerbaijan,1801,775,29.165,879960,1800,Europe & Central Asia
Bahamas,1801,1445,35.179,27350,1800,America
